transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00690,2026-01-05T23:13:25Z,119.56,online_retail,SG,False,False
txn_0000001,card_00404,2026-01-29T03:01:57Z,27.25,atm_withdrawal,GB,False,False
txn_0000002,card_00480,2026-01-01T10:35:35Z,227.33,entertainment,IN,True,False
txn_0000003,card_00803,2026-01-07T19:39:06Z,54.12,pharmacy,US,True,False
txn_0000004,card_00859,2026-01-02T10:26:49Z,187.87,pharmacy,GB,True,False
txn_0000005,card_00684,2026-01-24T15:09:46Z,47.78,electronics,US,False,False
txn_0000006,card_00204,2026-01-21T10:54:19Z,295.28,grocery,US,True,False
txn_0000007,card_00698,2026-01-01T22:11:52Z,65.53,travel,DE,False,False
txn_0000008,card_00350,2026-01-09T05:42:24Z,214.94,fuel,SG,True,True
txn_0000009,card_00104,2026-01-17T10:27:02Z,29.58,entertainment,SG,True,False
txn_0000010,card_00194,2026-01-21T16:31:28Z,35.6,fuel,DE,True,False
txn_0000011,card_00551,2026-01-11T23:00:07Z,53.04,atm_withdrawal,GB,True,False
txn_0000012,card_00629,2026-01-19T05:31:50Z,302.76,atm_withdrawal,IN,False,False
txn_0000013,card_00473,2026-01-20T08:10:06Z,28.65,travel,IN,True,False
txn_0000014,card_00169,2026-01-24T17:29:58Z,32.84,pharmacy,GB,False,False
txn_0000015,card_00373,2026-01-23T00:36:02Z,26.27,electronics,DE,False,False
txn_0000016,card_00357,2026-01-23T09:48:27Z,35.98,electronics,DE,True,False
txn_0000017,card_00429,2026-01-22T19:35:14Z,129.46,fuel,GB,True,False
txn_0000018,card_00275,2026-01-30T23:31:35Z,283.7,grocery,DE,False,False
txn_0000019,card_00679,2026-01-21T00:50:51Z,45.62,utilities,SG,False,False
txn_0000020,card_00566,2026-01-08T10:59:39Z,30.05,restaurant,AE,False,False
txn_0000021,card_00478,2026-01-16T03:06:59Z,40.98,electronics,DE,False,False
txn_0000022,card_00768,2026-01-25T09:40:17Z,188.17,travel,US,True,False
txn_0000023,card_00367,2026-01-10T12:36:33Z,31.6,grocery,DE,True,False
txn_0000024,card_00743,2026-01-19T16:13:29Z,102.58,restaurant,SG,False,False
txn_0000025,card_00235,2026-01-22T07:11:39Z,119.75,grocery,AE,True,False
txn_0000026,card_00449,2026-01-15T22:33:11Z,39.13,electronics,AE,True,False
txn_0000027,card_00416,2026-01-14T19:22:21Z,10.4,restaurant,IN,True,False
txn_0000028,card_00578,2026-01-09T18:39:50Z,71.62,fuel,DE,True,False
