transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00394,2026-01-22T00:08:20Z,fuel,True,False,dev_001938,US,1000
txn_0000501,card_00360,2026-01-08T05:47:44Z,atm_withdrawal,False,False,dev_003315,SG,5519
txn_0000502,card_00153,2026-01-21T02:14:54Z,restaurant,True,False,dev_000619,US,10711
txn_0000503,card_00064,2026-01-25T10:57:22Z,fuel,False,False,dev_001514,GB,34146
txn_0000504,card_00712,2026-01-26T07:31:55Z,entertainment,True,False,dev_001985,US,9545
txn_0000505,card_00119,2026-01-06T18:27:23Z,travel,False,False,dev_003125,IN,6611
txn_0000506,card_00662,2026-01-28T15:32:08Z,utilities,False,False,dev_001982,US,11719
txn_0000507,card_00583,2026-01-01T11:23:49Z,entertainment,False,False,dev_002466,AE,5519
txn_0000508,card_00511,2026-01-12T17:08:49Z,fuel,True,False,dev_000249,IN,1189
txn_0000509,card_00098,2026-01-17T23:03:03Z,electronics,False,False,dev_003945,US,6284
txn_0000510,card_00147,2026-01-28T06:50:50Z,grocery,True,False,dev_001956,US,23262
txn_0000511,card_00802,2026-01-09T12:32:34Z,pharmacy,True,False,dev_003867,DE,2626
txn_0000512,card_00465,2026-01-29T14:24:50Z,utilities,False,False,dev_003573,IN,1263
txn_0000513,card_00523,2026-01-24T16:54:58Z,utilities,False,False,dev_002472,SG,10777
txn_0000514,card_00697,2026-01-06T11:06:57Z,pharmacy,False,False,dev_002619,IN,4642
txn_0000515,card_00134,2026-01-06T07:04:15Z,electronics,False,True,dev_002018,DE,9477
txn_0000516,card_00827,2026-01-01T05:55:59Z,restaurant,False,False,dev_003843,DE,17125
txn_0000517,card_00318,2026-01-23T16:59:13Z,entertainment,False,False,dev_003509,GB,1200
txn_0000518,card_00848,2026-01-17T01:26:05Z,pharmacy,False,False,dev_004140,SG,851
txn_0000519,card_00494,2026-01-28T12:51:28Z,grocery,True,False,dev_003470,DE,1853
txn_0000520,card_00898,2026-01-11T06:01:21Z,electronics,False,False,dev_001669,SG,3470
txn_0000521,card_00530,2026-01-21T01:44:30Z,online_retail,False,False,dev_000504,AE,2342
txn_0000522,card_00203,2026-01-22T08:32:40Z,fuel,True,False,dev_003337,IN,3494
txn_0000523,card_00769,2026-01-29T01:09:24Z,utilities,True,False,dev_002034,IN,6543
txn_0000524,card_00648,2026-01-10T21:44:14Z,electronics,True,False,dev_003449,AE,9498
txn_0000525,card_00672,2026-01-17T10:44:06Z,electronics,False,True,dev_002578,SG,26267
txn_0000526,card_00876,2026-01-21T22:06:55Z,restaurant,False,False,dev_003853,SG,460
txn_0000527,card_00306,2026-01-06T05:01:20Z,grocery,True,False,dev_000943,AE,14161
txn_0000528,card_00295,2026-01-22T08:40:59Z,fuel,False,False,dev_004092,AE,17780
txn_0000529,card_00454,2026-01-17T07:33:37Z,travel,False,False,dev_003970,DE,31974
txn_0000530,card_00845,2026-01-17T02:40:12Z,pharmacy,False,False,dev_000356,SG,10107
txn_0000531,card_00801,2026-01-26T06:55:11Z,utilities,False,False,dev_004225,DE,2500
txn_0000532,card_00010,2026-01-05T07:22:31Z,entertainment,True,False,dev_003822,US,2129
txn_0000533,card_00636,2026-01-15T09:17:26Z,electronics,False,False,dev_004015,GB,14969
txn_0000534,card_00406,2026-01-27T07:34:12Z,entertainment,False,False,dev_002659,SG,4046
txn_0000535,card_00755,2026-01-03T23:12:37Z,online_retail,False,False,dev_003985,DE,5732
txn_0000536,card_00731,2026-01-29T12:05:12Z,atm_withdrawal,True,False,dev_002866,GB,12359
txn_0000537,card_00315,2026-01-25T15:45:58Z,electronics,False,False,dev_003438,SG,1584
txn_0000538,card_00557,2026-01-21T21:32:58Z,utilities,True,False,dev_000111,IN,36548
txn_0000539,card_00428,2026-01-29T07:05:08Z,pharmacy,True,False,dev_002795,IN,80922
txn_0000540,card_00483,2026-01-29T22:33:42Z,entertainment,False,False,dev_001046,AE,45933
txn_0000541,card_00364,2026-01-10T22:33:14Z,restaurant,True,False,dev_003733,IN,2931
txn_0000542,card_00819,2026-01-19T02:12:12Z,grocery,False,False,dev_002424,GB,6664
txn_0000543,card_00075,2026-01-17T22:24:05Z,atm_withdrawal,False,False,dev_001027,AE,6115
txn_0000544,card_00072,2026-01-25T20:56:26Z,utilities,True,False,dev_000538,IN,10140
txn_0000545,card_00283,2026-01-01T06:32:06Z,restaurant,False,False,dev_003837,DE,162683
txn_0000546,card_00444,2026-01-03T21:47:42Z,entertainment,True,False,dev_004165,IN,1295
txn_0000547,card_00844,2026-01-09T06:26:36Z,electronics,True,False,dev_002417,SG,9056
txn_0000548,card_00169,2026-01-02T07:11:30Z,restaurant,True,False,dev_001984,GB,31267
txn_0000549,card_00245,2026-01-03T21:19:13Z,entertainment,False,False,dev_000082,AE,2470
txn_0000550,card_00479,2026-01-03T21:54:20Z,pharmacy,False,False,dev_004143,AE,6475
txn_0000551,card_00030,2026-01-08T19:46:00Z,entertainment,True,False,dev_004064,SG,16923
txn_0000552,card_00642,2026-01-30T15:45:34Z,grocery,True,False,dev_001850,US,19302
txn_0000553,card_00712,2026-01-08T08:34:48Z,fuel,True,False,dev_003301,US,36429
txn_0000554,card_00858,2026-01-15T16:38:33Z,fuel,False,False,dev_004155,SG,7214
txn_0000555,card_00834,2026-01-15T14:36:43Z,electronics,True,False,dev_001404,US,15290
txn_0000556,card_00428,2026-01-12T02:19:16Z,utilities,False,False,dev_002578,DE,13344
txn_0000557,card_00572,2026-01-24T10:16:59Z,online_retail,True,False,dev_001424,AE,923
txn_0000558,card_00498,2026-01-06T13:14:43Z,atm_withdrawal,True,False,dev_004545,AE,59515
txn_0000559,card_00624,2026-01-03T20:01:35Z,online_retail,False,False,dev_001497,IN,1162
txn_0000560,card_00864,2026-01-12T08:23:26Z,fuel,False,False,dev_002596,SG,1624
txn_0000561,card_00658,2026-01-16T19:59:04Z,fuel,True,False,dev_002530,IN,9498
txn_0000562,card_00260,2026-01-01T15:04:30Z,fuel,False,False,dev_001327,US,12983
txn_0000563,card_00558,2026-01-07T17:23:42Z,restaurant,True,False,dev_004333,GB,9584
txn_0000564,card_00663,2026-01-28T08:28:59Z,atm_withdrawal,False,False,dev_001533,US,23522
txn_0000565,card_00620,2026-01-27T00:05:51Z,entertainment,True,False,dev_000763,SG,2488
txn_0000566,card_00695,2026-01-01T04:27:26Z,grocery,False,False,dev_001468,AE,5286
txn_0000567,card_00393,2026-01-21T18:52:44Z,grocery,True,False,dev_002547,GB,1145
txn_0000568,card_00515,2026-01-06T12:20:53Z,atm_withdrawal,True,False,dev_002861,SG,1869
txn_0000569,card_00025,2026-01-01T17:41:10Z,entertainment,False,False,dev_001453,AE,2989
txn_0000570,card_00879,2026-01-30T06:13:12Z,fuel,False,False,dev_001203,AE,8355
txn_0000571,card_00618,2026-01-30T17:51:05Z,restaurant,True,False,dev_004461,AE,1660
